0, -25.077695167286276
1, -25.079439252337075
2, 55.86491228070521
3, -25.018791946308923
4, -25.058974358974396
5, -10.53478260869553
6, -25.09673202614382
7, -25.03888888888893
8, -25.03333333333339
9, -25.065116279069834
10, -25.04370860927157
11, -25.058620689655275
12, -25.078853046595036
13, -25.02601880877748
14, -25.076729559748472
15, -25.076433121019154
16, -25.098961937716304
17, -25.014388489208674
18, -25.080116959064377
19, -25.040065146579998
20, -25.09319727891161
21, -25.099665551839497
22, -25.07216494845364
23, -93.90303030303066
24, -25.032155477031843
25, -25.07759197324419
26, -25.076712328767165
27, -25.033110367893016
28, -25.006611570248054
29, -25.08721804511274
30, -25.030670926517608
31, -25.033333333333353
32, -25.032155477031857
33, -25.045859872611533
34, -25.012987012987068
35, -25.06491228070181
36, -25.0852459016394
37, -25.095918367347004
38, -25.050442477876178
39, -25.008633093525244
40, -25.096078431372614
41, -25.053658536585438
42, -25.0833333333334
43, -25.0833333333334
44, -25.001369863013757
45, -25.059740259740327
46, -25.03006134969331
47, -25.020979020979055
48, -25.043708609271583
49, -25.077215189873478
50, -25.03333333333339
51, -25.008411214953362
52, -25.07340823970043
53, -25.03207547169815
54, -25.041176470588262
55, -25.018770226537264
56, -25.07885304659502
57, -25.076712328767165
58, -25.06950354609933
59, -25.084981684981727
60, -25.088593155893573
61, -25.033333333333374
62, -25.080116959064377
63, -25.073408239700477
